Day,Rd,Hm,D/N
1,F1,F6,N
1,F2,F5,N
1,F3,F4,N
1,A1,A6,N
1,A2,A5,N
1,A3,A4,N
1,N1,N6,D
1,N2,N5,D
1,N3,N4,D
2,F1,F6,D
2,F2,F5,D
2,F3,F4,D
2,A1,A6,N
2,A2,A5,N
2,A3,A4,N
2,N1,N6,N
2,N2,N5,N
2,N3,N4,N
3,F1,F6,N
3,F2,F5,N
3,F3,F4,N
3,A1,A6,D
3,A2,A5,D
3,A3,A4,D
3,N1,N6,N
3,N2,N5,N
3,N3,N4,N
4,F1,F6,D
4,F2,F5,N
4,F3,F4,N
4,A1,A6,D
4,A2,A5,N
4,A3,A4,N
4,N1,N6,D
4,N2,N5,N
4,N3,N4,N
5,A4,A2,N
5,N6,N3,D
5,A5,A1,N
5,N4,N2,N
5,F6,F3,D
5,N5,N1,N
5,F4,F2,N
5,A6,A3,D
5,F5,F1,N
6,A4,A2,N
6,N6,N3,N
6,A5,A1,D
6,N4,N2,N
6,F6,F3,N
6,N5,N1,D
6,F4,F2,N
6,A6,A3,N
6,F5,F1,D
7,A4,A2,N
7,N6,N3,N
7,A5,A1,N
7,N4,N2,N
7,F6,F3,N
8,N5,N1,N
8,F4,F2,D
8,A6,A3,D
8,F5,F1,D
9,A4,A2,D
9,N6,N3,D
9,A5,A1,D
9,N4,N2,N
9,F6,F3,N
9,N5,N1,N
9,F4,F2,N
9,A6,A3,N
9,F5,F1,N
10,A2,A3,N
10,N5,N6,N
10,A1,A4,N
10,N2,N3,D
10,F5,F6,D
10,N1,N4,D
10,F2,F3,N
10,A5,A6,N
10,F1,F4,N
11,A2,A3,D
11,N5,N6,N
11,A1,A4,N
11,N2,N3,D
11,F5,F6,N
11,N1,N4,N
11,F2,F3,D
11,A5,A6,N
11,F1,F4,N
12,A2,A3,N
12,N5,N6,D
12,A1,A4,N
12,N2,N3,N
12,F5,F6,D
12,N1,N4,N
12,F2,F3,N
12,A5,A6,D
12,F1,F4,N
13,A2,A3,N
13,N5,N6,N
13,A1,A4,D
13,N2,N3,N
13,F5,F6,N
13,N1,N4,D
13,F2,F3,N
13,A5,A6,N
13,F1,F4,D
14,N4,N6,N
14,F1,F2,N
14,N3,N5,N
14,F3,F5,N
15,N1,N2,N
15,F4,F6,N
15,A4,A6,D
15,A1,A2,D
15,A3,A5,D
16,N4,N6,D
16,F1,F2,D
16,N3,N5,D
16,F3,F5,N
16,N1,N2,N
16,F4,F6,N
16,A4,A6,N
16,A1,A2,N
16,A3,A5,N
17,N4,N6,N
17,F1,F2,N
17,N3,N5,N
17,F3,F5,D
17,N1,N2,D
17,F4,F6,D
17,A4,A6,N
17,A1,A2,N
17,A3,A5,N
18,N4,N6,D
18,F1,F2,N
18,N3,N5,N
18,F3,F5,D
18,N1,N2,N
18,F4,F6,N
18,A4,A6,D
18,A1,A2,N
18,A3,A5,N
19,N5,N4,N
19,F3,F1,D
19,N6,N2,N
19,F6,F2,N
19,N3,N1,D
19,F5,F4,N
19,A5,A4,N
19,A3,A1,D
19,A6,A2,N
20,N5,N4,N
20,F3,F1,N
20,N6,N2,D
20,F6,F2,N
20,N3,N1,N
20,F5,F4,D
20,A5,A4,N
20,A3,A1,N
20,A6,A2,D
21,N5,N4,N
21,F3,F1,N
21,N6,N2,N
21,F6,F2,N
21,N3,N1,N
21,F5,F4,N
21,A5,A4,D
21,A3,A1,D
21,A6,A2,D
22,N5,N4,D
22,F3,F1,D
22,N6,N2,D
22,F6,F2,N
22,N3,N1,N
22,F5,F4,N
22,A5,A4,N
22,A3,A1,N
22,A6,A2,N
23,F6,A4,N
23,F1,N6,N
23,F3,N4,N
23,A2,N2,D
23,F4,A6,D
23,F2,N5,D
23,A1,N3,N
23,A3,N1,N
23,F5,A5,N
24,F6,A4,D
24,F1,N6,N
24,F3,N4,N
24,A2,N2,D
24,F4,A6,N
24,F2,N5,N
24,A1,N3,D
24,A3,N1,N
24,F5,A5,N
25,F6,A4,N
25,F1,N6,D
25,F3,N4,N
25,A2,N2,N
25,F4,A6,D
25,F2,N5,N
25,A1,N3,N
25,A3,N1,D
25,F5,A5,N
26,N1,F4,N
26,N2,A4,N
26,N3,A2,D
26,A6,F2,N
26,N5,F6,N
26,N4,A3,D
26,A5,F3,N
26,A1,F1,N
26,N6,F5,D
27,N1,F4,N
27,N2,A4,N
27,N3,A2,N
27,A6,F2,N
27,N5,F6,N
27,N4,A3,N
27,A5,F3,D
27,A1,F1,D
27,N6,F5,D
28,N1,F4,D
28,N2,A4,D
28,N3,A2,D
28,A6,F2,N
28,N5,F6,N
28,N4,A3,N
28,A5,F3,N
28,A1,F1,N
28,N6,F5,N
29,F6,A3,N
29,F1,N5,N
29,F3,N3,N
29,A2,N1,D
29,F4,A5,D
29,F2,N4,D
29,A1,N2,N
29,A6,N6,N
29,F5,A4,N
30,F6,A3,D
30,F1,N5,N
30,F3,N3,N
30,A2,N1,D
30,F4,A5,N
30,F2,N4,N
30,A1,N2,D
30,A6,N6,N
30,F5,A4,N
31,F6,A3,N
31,F1,N5,D
31,F3,N3,N
31,A2,N1,N
31,F4,A5,D
31,F2,N4,N
31,A1,N2,N
31,A6,N6,D
31,F5,A4,N
32,N2,F4,N
32,N3,A5,N
32,N5,A3,D
32,A1,F2,N
32,N6,F6,N
32,N4,A4,D
32,A6,F3,N
32,A2,F1,N
32,N1,F5,D
33,N2,F4,N
33,N3,A5,N
33,N5,A3,N
33,A1,F2,N
33,N6,F6,N
34,N4,A4,N
34,A6,F3,D
34,A2,F1,D
34,N1,F5,D
35,N2,F4,D
35,N3,A5,D
35,N5,A3,D
35,A1,F2,N
35,N6,F6,N
35,N4,A4,N
35,A6,F3,N
35,A2,F1,N
35,N1,F5,N
36,F6,A2,N
36,F1,N4,N
36,F3,N2,N
36,A5,N6,D
36,F4,A4,D
36,F2,N3,D
36,A1,N1,N
36,A6,N5,N
36,F5,A3,N
37,F6,A2,D
37,F1,N4,N
37,F3,N2,N
37,A5,N6,D
37,F4,A4,N
37,F2,N3,N
37,A1,N1,D
37,A6,N5,N
37,F5,A3,N
38,F6,A2,N
38,F1,N4,D
38,F3,N2,N
38,A5,N6,N
38,F4,A4,D
38,F2,N3,N
38,A1,N1,N
38,A6,N5,D
38,F5,A3,N
39,N6,F4,N
39,N3,A6,N
39,N1,A4,D
39,A2,F2,N
39,N4,F6,N
39,N2,A5,D
39,A1,F3,N
39,A3,F1,N
39,N5,F5,D
40,N6,F4,N
40,N3,A6,N
40,N1,A4,N
40,A2,F2,N
40,N4,F6,N
40,N2,A5,N
40,A1,F3,D
40,A3,F1,D
40,N5,F5,D
41,N6,F4,D
41,N3,A6,D
41,N1,A4,D
41,A2,F2,N
41,N4,F6,N
41,N2,A5,N
41,A1,F3,N
41,A3,F1,N
41,N5,F5,N
42,F6,A1,N
42,F1,N3,N
42,F3,N1,N
42,A5,N5,D
42,F4,A3,D
42,F2,N2,D
42,A4,N6,N
42,A6,N4,N
42,F5,A2,N
43,F6,A1,D
43,F1,N3,N
43,F3,N1,N
43,A5,N5,D
43,F4,A3,N
43,F2,N2,N
43,A4,N6,D
43,A6,N4,N
43,F5,A2,N
44,F6,A1,N
44,F1,N3,D
44,F3,N1,N
44,A5,N5,N
44,F4,A3,D
44,F2,N2,N
44,A4,N6,N
44,A6,N4,D
44,F5,A2,N
45,N5,F4,N
45,N2,A6,N
45,N6,A1,D
45,A3,F2,N
45,N3,F6,N
45,N1,A5,D
45,A2,F3,N
45,A4,F1,N
45,N4,F5,D
46,N5,F4,N
46,N2,A6,N
46,N6,A1,N
46,A3,F2,N
46,N3,F6,N
46,N1,A5,N
46,A2,F3,D
46,A4,F1,D
46,N4,F5,D
47,N5,F4,D
47,N2,A6,D
47,N6,A1,D
47,A3,F2,N
48,N3,F6,N
48,N1,A5,N
48,A2,F3,N
48,A4,F1,N
48,N4,F5,N
49,F6,A6,N
49,F1,N2,N
49,F3,N6,N
49,A4,N5,D
49,F4,A2,D
49,F2,N1,D
49,A3,N3,N
49,A5,N4,N
49,F5,A1,N
50,F6,A6,D
50,F1,N2,N
50,F3,N6,N
50,A4,N5,D
50,F4,A2,N
50,F2,N1,N
50,A3,N3,D
50,A5,N4,N
50,F5,A1,N
51,F6,A6,N
51,F1,N2,D
51,F3,N6,N
51,A4,N5,N
51,F4,A2,D
51,F2,N1,N
51,A3,N3,N
51,A5,N4,D
51,F5,A1,N
52,N4,F4,N
52,N1,A6,N
52,N5,A1,D
52,A4,F2,N
52,N2,F6,N
52,N6,A2,D
52,A3,F3,N
52,A5,F1,N
52,N3,F5,D
53,N4,F4,N
53,N1,A6,N
53,N5,A1,N
53,A4,F2,N
53,N2,F6,N
53,N6,A2,N
53,A3,F3,D
53,A5,F1,D
53,N3,F5,D
54,N4,F4,D
54,N1,A6,D
54,N5,A1,D
54,A4,F2,N
54,N2,F6,N
54,N6,A2,N
54,A3,F3,N
54,A5,F1,N
54,N3,F5,N
55,F6,A5,N
55,F1,N1,N
55,F3,N5,N
55,A3,N2,D
55,F4,A1,D
55,F2,N6,D
55,A2,N4,N
55,A4,N3,N
55,F5,A6,N
56,F6,A5,D
56,F1,N1,N
56,F3,N5,N
56,A3,N2,D
56,F4,A1,N
56,F2,N6,N
56,A2,N4,D
56,A4,N3,N
56,F5,A6,N
57,F6,A5,N
57,F1,N1,D
57,F3,N5,N
57,A3,N2,N
57,F4,A1,D
57,F2,N6,N
57,A2,N4,N
57,A4,N3,D
57,F5,A6,N
58,N3,F4,N
58,N6,A3,N
58,N4,A1,D
58,A5,F2,N
58,N1,F6,N
58,N5,A2,D
58,A4,F3,N
58,A6,F1,N
58,N2,F5,D
59,N3,F4,N
59,N6,A3,N
59,N4,A1,N
59,A5,F2,N
59,N1,F6,N
59,N5,A2,N
59,A4,F3,D
59,A6,F1,D
59,N2,F5,D
60,N3,F4,D
60,N6,A3,D
60,N4,A1,D
60,A5,F2,N
60,N1,F6,N
60,N5,A2,N
60,A4,F3,N
60,A6,F1,N
60,N2,F5,N
61,N2,N1,N
61,F5,F3,N
61,A6,A4,N
61,N5,N3,D
61,A5,A3,D
61,F2,F1,D
61,A2,A1,N
61,N6,N4,N
61,F6,F4,N
62,N2,N1,D
62,F5,F3,N
62,A6,A4,N
62,N5,N3,D
62,A5,A3,N
62,F2,F1,N
62,A2,A1,D
62,N6,N4,N
62,F6,F4,N
63,F3,F6,N
63,N2,N4,D
63,F2,F4,N
63,A1,A5,N
63,F1,F5,D
64,N3,N6,N
64,A3,A6,N
64,A2,A4,D
64,N1,N5,N
65,F3,F6,N
65,N2,N4,N
65,F2,F4,D
65,A1,A5,N
65,F1,F5,N
65,N3,N6,D
65,A3,A6,N
65,A2,A4,N
65,N1,N5,D
66,N1,N3,N
66,F2,F6,N
66,A4,A5,N
66,N2,N6,N
66,A2,A6,N
66,F1,F3,N
66,A1,A3,D
66,N4,N5,D
66,F4,F5,D
67,N1,N3,D
67,F2,F6,D
67,A4,A5,D
67,N2,N6,N
68,A2,A6,N
68,F1,F3,N
68,A1,A3,N
68,N4,N5,N
68,F4,F5,N
69,A5,A2,N
69,A6,A1,N
69,N6,N1,N
69,F4,F3,D
69,N4,N3,D
69,F5,F2,D
69,N5,N2,N
69,F6,F1,N
69,A4,A3,N
70,A5,A2,D
70,A6,A1,N
70,N6,N1,N
70,F4,F3,D
70,N4,N3,N
70,F5,F2,N
70,N5,N2,D
70,F6,F1,N
70,A4,A3,N
71,F6,F5,N
71,N3,N2,D
71,F3,F2,N
71,A4,A1,N
71,F4,F1,D
71,N6,N5,N
71,A6,A5,N
71,A3,A2,D
71,N4,N1,N
72,F6,F5,N
72,N3,N2,N
72,F3,F2,D
72,A4,A1,N
72,F4,F1,N
72,N6,N5,D
72,A6,A5,N
72,A3,A2,N
72,N4,N1,D
76,F1,F6,N
76,F2,F5,N
76,F3,F4,N
76,A1,A6,N
76,A2,A5,N
76,A3,A4,N
76,N1,N6,D
76,N2,N5,D
76,N3,N4,D
77,F1,F6,D
77,F2,F5,D
77,F3,F4,D
77,A1,A6,N
77,A2,A5,N
77,A3,A4,N
77,N1,N6,N
77,N2,N5,N
77,N3,N4,N
78,F1,F6,N
78,F2,F5,N
78,F3,F4,N
78,A1,A6,D
78,A2,A5,D
78,A3,A4,D
78,N1,N6,N
78,N2,N5,N
78,N3,N4,N
79,A4,A2,D
79,N6,N3,N
79,A5,A1,N
79,N4,N2,D
79,F6,F3,N
79,N5,N1,N
79,F4,F2,D
79,A6,A3,N
79,F5,F1,N
80,A4,A2,N
80,N6,N3,D
80,A5,A1,N
80,N4,N2,N
80,F6,F3,D
81,N5,N1,N
81,F4,F2,N
81,A6,A3,D
81,F5,F1,N
82,A4,A2,N
82,N6,N3,N
82,A5,A1,D
82,N4,N2,N
82,F6,F3,N
82,N5,N1,D
82,F4,F2,N
82,A6,A3,N
82,F5,F1,D
83,A2,A3,N
83,N5,N6,N
83,A1,A4,N
83,N2,N3,N
83,F5,F6,N
83,N1,N4,N
83,F2,F3,D
83,A5,A6,D
83,F1,F4,D
84,A2,A3,D
84,N5,N6,D
84,A1,A4,D
84,N2,N3,N
84,F5,F6,N
84,N1,N4,N
84,F2,F3,N
84,A5,A6,N
84,F1,F4,N
85,A2,A3,N
85,N5,N6,N
85,A1,A4,N
85,N2,N3,D
86,F5,F6,D
86,N1,N4,D
86,F2,F3,N
86,A5,A6,N
86,F1,F4,N
87,N4,N6,D
87,F1,F2,N
87,N3,N5,N
87,F3,F5,D
87,N1,N2,N
87,F4,F6,N
87,A4,A6,D
87,A1,A2,N
87,A3,A5,N
88,N4,N6,N
88,F1,F2,D
88,N3,N5,N
88,F3,F5,N
88,N1,N2,D
88,F4,F6,N
88,A4,A6,N
88,A1,A2,D
88,A3,A5,N
89,N4,N6,N
89,F1,F2,N
89,N3,N5,D
89,F3,F5,N
89,N1,N2,N
89,F4,F6,D
89,A4,A6,N
89,A1,A2,N
89,A3,A5,D
90,N5,N4,N
90,F3,F1,N
90,N6,N2,N
90,F6,F2,N
90,N3,N1,N
90,F5,F4,N
90,A5,A4,D
90,A3,A1,D
90,A6,A2,D
91,N5,N4,D
91,F3,F1,D
91,N6,N2,D
91,F6,F2,N
91,N3,N1,N
91,F5,F4,N
91,A5,A4,N
91,A3,A1,N
91,A6,A2,N
92,N5,N4,N
92,F3,F1,N
92,N6,N2,N
92,F6,F2,D
92,N3,N1,D
92,F5,F4,D
92,A5,A4,N
92,A3,A1,N
92,A6,A2,N
93,N2,N1,D
93,F5,F3,N
93,A6,A4,N
93,N5,N3,D
93,A5,A3,N
93,F2,F1,N
93,A2,A1,D
93,N6,N4,N
93,F6,F4,N
94,N2,N1,N
94,F5,F3,D
94,A6,A4,N
94,N5,N3,N
94,A5,A3,D
94,F2,F1,N
94,A2,A1,N
94,N6,N4,D
94,F6,F4,N
95,N2,N1,N
95,F5,F3,N
95,A6,A4,D
95,N5,N3,N
95,A5,A3,N
95,F2,F1,D
95,A2,A1,N
95,N6,N4,N
95,F6,F4,D
96,F3,F6,N
96,N2,N4,N
96,F2,F4,N
96,A1,A5,N
96,F1,F5,N
96,N3,N6,N
